# area    idepth         shear_m    sigma_z    sig_delta_z    sig_sigma_z   FOM
7.623220e+03 2.539750e+01 8.919150e-03 8.499730e-02 3.253700e-03 3.319090e-03 7.674418e+03
1.478630e+04 2.659070e+01 1.044980e-02 9.860320e-02 1.353160e-03 5.295410e-03 1.483995e+04
9.931470e+03 2.567020e+01 1.459720e-02 8.755210e-02 1.687870e-03 4.781510e-03 9.983242e+03
8.585430e+03 2.637260e+01 1.919160e-02 9.682220e-02 2.150430e-03 4.374970e-03 8.638657e+03
1.768180e+04 2.666910e+01 4.502460e-03 2.252390e-02 4.060310e-03 4.430620e-03 1.773529e+04
1.512690e+04 2.498820e+01 5.678280e-03 7.182780e-02 2.223580e-03 4.863330e-03 1.517722e+04
9.747990e+03 2.508140e+01 2.948410e-03 7.336750e-02 3.349930e-03 4.674230e-03 9.798500e+03
8.335080e+03 2.642470e+01 5.309220e-03 3.852740e-02 2.551860e-03 3.672300e-03 8.388134e+03
9.533420e+03 2.650880e+01 1.186320e-02 4.255490e-02 2.664990e-03 4.269630e-03 9.586682e+03
1.833130e+04 2.555960e+01 1.518490e-02 6.058670e-02 1.592260e-03 5.153570e-03 1.838275e+04
1.286780e+04 2.532880e+01 4.101510e-03 1.785550e-02 1.836640e-03 5.455300e-03 1.291858e+04
1.741890e+04 2.480350e+01 1.706220e-02 8.534070e-02 3.849650e-03 3.101320e-03 1.746894e+04
1.978310e+04 2.487920e+01 1.973310e-02 1.241190e-02 4.277650e-03 3.059710e-03 1.983301e+04
1.253880e+04 2.560900e+01 1.066150e-02 5.310270e-02 3.143770e-03 4.063270e-03 1.259030e+04
1.526000e+04 2.623850e+01 1.244450e-02 3.040320e-02 4.561130e-03 5.942930e-03 1.531269e+04
1.654070e+04 2.503510e+01 9.945070e-03 5.031450e-02 3.478680e-03 3.487090e-03 1.659104e+04
1.963680e+04 2.676920e+01 1.362510e-02 1.322130e-02 4.879380e-03 5.625260e-03 1.969049e+04
1.111270e+04 2.656930e+01 1.434910e-02 9.417650e-02 4.181520e-03 3.960250e-03 1.116630e+04
1.038550e+04 2.587990e+01 1.643140e-02 4.164440e-02 4.699110e-03 5.405370e-03 1.043753e+04
1.614020e+04 2.630090e+01 1.696200e-02 6.681980e-02 3.675980e-03 5.004470e-03 1.619317e+04
1.892010e+04 2.550860e+01 1.866080e-02 6.322700e-02 2.800900e-03 3.185950e-03 1.897146e+04
1.797620e+04 2.542190e+01 9.459030e-03 2.913320e-02 2.341610e-03 4.605920e-03 1.802723e+04
1.135200e+04 2.583050e+01 1.132460e-02 4.816330e-02 1.949640e-03 4.121370e-03 1.140392e+04
9.214770e+03 2.629530e+01 1.552250e-02 5.956060e-02 2.009820e-03 3.364180e-03 9.267676e+03
1.691070e+04 2.601830e+01 8.008460e-03 8.187420e-02 1.227390e-03 5.249880e-03 1.696313e+04
1.199560e+04 2.526000e+01 7.321040e-03 4.725180e-02 3.108860e-03 3.900920e-03 1.204637e+04
1.619980e+04 2.579030e+01 6.494530e-03 2.701850e-02 2.751680e-03 4.983490e-03 1.625155e+04
1.439510e+04 2.518460e+01 2.439760e-03 7.674010e-02 4.927360e-03 5.666700e-03 1.444584e+04
8.133860e+03 2.672640e+01 1.259320e-02 2.199450e-02 4.372410e-03 3.638400e-03 8.187482e+03
1.351050e+04 2.605070e+01 1.825870e-02 9.026630e-02 1.139310e-03 4.558610e-03 1.356305e+04
1.912230e+04 2.569960e+01 3.358590e-03 7.797050e-02 1.048640e-03 5.548220e-03 1.917406e+04
1.568450e+04 2.522560e+01 6.822870e-03 3.376660e-02 2.923280e-03 3.810610e-03 1.573514e+04
1.201480e+04 2.493830e+01 1.772690e-02 3.623580e-02 4.520820e-03 5.761500e-03 1.206493e+04
1.405970e+04 2.611440e+01 3.521900e-03 6.924290e-02 3.941140e-03 3.577050e-03 1.411226e+04
1.091930e+04 2.594640e+01 7.733040e-03 5.588410e-02 1.507560e-03 5.905720e-03 1.097148e+04
1.321270e+04 2.618780e+01 1.348860e-02 1.504570e-02 3.613000e-03 4.223930e-03 1.326522e+04
